elo_diff,avg_elo,material_diff_last,material_diff_avg,material_diff_var,ply_count,time_base,time_increment,outcome
14.0,2007.0,1,1.0,0.0,105,900.0,0.0,0
-57.0,1822.5,-4,-4.0,0.0,80,900.0,0.0,-1
100.0,2278.0,1,1.0,0.0,124,900.0,0.0,0
151.0,1627.5,5,4.1,0.29,103,900.0,0.0,1
-141.0,2073.5,7,1.8,13.559999999999999,41,900.0,0.0,1
-189.0,1798.5,-1,-1.8,0.16,52,900.0,0.0,-1
35.0,1728.5,-27,-25.5,6.45,102,900.0,0.0,-1
-141.0,1627.5,-8,-1.3,17.81,78,900.0,0.0,-1
165.0,2073.5,-7,-2.4,12.84,52,900.0,0.0,-1
42.0,1822.0,20,20.8,0.16,143,900.0,0.0,1
440.0,2107.0,5,2.7,0.8099999999999999,43,900.0,0.0,1
98.0,1497.0,9,0.9,7.290000000000001,41,1200.0,5.0,1
32.0,1564.0,6,4.5,4.05,60,900.0,0.0,-1
-139.0,1772.5,-7,-3.7,7.409999999999999,60,900.0,0.0,-1
-11.0,1566.5,-10,-6.8,4.76,88,900.0,0.0,-1
-61.0,1490.5,-5,-5.0,0.0,100,1200.0,5.0,-1
-154.0,1777.0,-3,-1.9,1.09,69,900.0,0.0,1
-75.0,2128.5,-1,-1.1,0.09,92,900.0,0.0,0
456.0,1777.0,6,2.2,12.559999999999999,39,900.0,0.0,1
-62.0,1823.0,5,5.5,2.25,95,900.0,0.0,1
144.0,1777.0,-3,0.0,3.4,72,900.0,0.0,1
84.0,1824.0,-11,-11.9,9.690000000000001,128,900.0,0.0,-1
57.0,2126.5,1,0.2,0.7600000000000001,51,900.0,0.0,1
60.0,1843.0,-4,-4.1,0.09,75,900.0,0.0,1
43.0,1519.5,3,-2.0,3.0,59,600.0,12.0,-1
-46.0,1843.0,-8,-5.1,6.890000000000001,100,900.0,0.0,-1
-70.0,1823.0,0,-1.9,1.6900000000000002,60,900.0,0.0,-1
93.0,1824.5,-12,-10.5,6.45,92,900.0,0.0,-1
-139.0,2039.5,-1,-1.0,0.0,80,2700.0,45.0,-1
232.0,1680.0,12,9.5,5.05,57,900.0,0.0,1
32.0,1843.0,1,0.0,0.2,27,900.0,0.0,1
506.0,2581.0,5,3.8,2.16,66,900.0,0.0,1
-79.0,1823.5,-6,-4.4,11.440000000000001,82,900.0,0.0,-1
178.0,1734.0,5,0.5,2.25,61,900.0,0.0,1
283.0,1517.5,-12,-10.4,0.43999999999999995,118,900.0,0.0,-1
-115.0,1921.5,0,0.0,0.0,76,900.0,0.0,-1
2.0,1555.0,-4,-3.5,0.25,58,1800.0,0.0,-1
-277.0,1517.5,-9,-3.1,6.290000000000001,106,900.0,0.0,-1
-281.0,1695.5,9,0.9,7.290000000000001,159,900.0,0.0,1
15.0,1454.5,16,10.4,13.440000000000001,95,900.0,0.0,1
271.0,1517.5,15,6.6,8.04,53,900.0,0.0,1
-265.0,1517.5,-12,-11.4,0.8400000000000001,58,900.0,0.0,-1
-304.0,1710.0,-6,-5.2,7.56,58,900.0,0.0,-1
103.0,1825.5,-12,-11.2,5.76,132,900.0,0.0,-1
-19.0,1540.5,-1,-1.0,0.0,50,900.0,0.0,-1
164.0,2242.0,10,2.8,5.76,129,900.0,0.0,1
274.0,1696.0,-11,-11.0,0.0,113,900.0,0.0,1
-218.0,1435.0,-25,-24.8,15.76,74,1800.0,0.0,-1
-885.0,2501.5,0,1.7,8.01,77,900.0,30.0,0
-15.0,1703.5,4,-0.4,9.64,68,900.0,0.0,1
-55.0,1792.5,-1,-1.0,0.0,67,900.0,0.0,1
37.0,1540.5,-2,-1.8,0.16,50,900.0,0.0,-1
-35.0,1960.5,3,3.0,0.0,99,900.0,5.0,0
-55.0,1540.5,6,6.6,0.24,45,900.0,0.0,1
-302.0,1696.0,18,13.4,2.44,87,900.0,0.0,1
75.0,1540.5,-10,-9.7,1.8099999999999998,82,900.0,0.0,-1
-121.0,1419.5,-2,-2.7,4.61,31,1200.0,5.0,1
10.0,1992.0,2,1.4,0.44000000000000006,87,900.0,0.0,1
-169.0,1573.5,-2,-1.1,1.29,70,1200.0,5.0,-1
